method,t,wnorm,loss
OGD,107651,inf,inf
OGD,107701,inf,inf
OGD,107751,inf,inf
OGD,107801,inf,inf
OGD,107851,inf,inf
OGD,107901,inf,nan
OGD,107951,inf,inf
OGD,108001,inf,inf
OGD,108051,inf,inf
OGD,108101,inf,inf
OGD,108151,inf,inf
OGD,108201,inf,nan
OGD,108251,inf,inf
OGD,108301,inf,nan
OGD,108351,inf,nan
OGD,108401,inf,nan
OGD,108451,inf,nan
OGD,108501,inf,inf
OGD,108551,inf,inf
OGD,108601,inf,inf
OGD,108651,inf,inf
OGD,108701,inf,inf
OGD,108751,inf,nan
OGD,108801,inf,inf
OGD,108851,inf,inf
OGD,108901,inf,inf
OGD,108951,inf,nan
OGD,109001,inf,nan
OGD,109051,inf,nan
OGD,109101,inf,nan
OGD,109151,inf,nan
OGD,109201,inf,nan
OGD,109251,inf,inf
OGD,109301,inf,inf
OGD,109351,inf,nan
OGD,109401,inf,inf
OGD,109451,inf,nan
OGD,109501,inf,nan
OGD,109551,inf,inf
OGD,109601,inf,nan
OGD,109651,inf,nan
OGD,109701,inf,nan
OGD,109751,inf,nan
OGD,109801,inf,inf
OGD,109851,inf,nan
OGD,109901,inf,inf
OGD,109951,inf,nan
OGD,110001,inf,nan
OGD,110051,inf,nan
OGD,110101,inf,inf
OGD,110151,inf,nan
OGD,110201,inf,inf
OGD,110251,inf,nan
OGD,110301,inf,inf
OGD,110351,inf,nan
OGD,110401,inf,inf
OGD,110451,inf,inf
OGD,110501,inf,nan
OGD,110551,inf,inf
OGD,110601,inf,inf
OGD,110651,inf,nan
OGD,110701,inf,nan
OGD,110751,inf,inf
OGD,110801,inf,nan
OGD,110851,inf,inf
OGD,110901,inf,nan
OGD,110951,inf,nan
OGD,111001,inf,nan
OGD,111051,inf,inf
OGD,111101,inf,inf
OGD,111151,inf,nan
OGD,111201,inf,inf
OGD,111251,inf,nan
OGD,111301,inf,nan
OGD,111351,inf,inf
OGD,111401,inf,inf
OGD,111451,inf,inf
OGD,111501,inf,nan
OGD,111551,inf,nan
OGD,111601,inf,nan
OGD,111651,inf,nan
OGD,111701,inf,inf
OGD,111751,inf,inf
OGD,111801,inf,nan
OGD,111851,inf,inf
OGD,111901,inf,nan
OGD,111951,inf,nan
OGD,112001,inf,nan
OGD,112051,inf,inf
OGD,112101,inf,nan
OGD,112151,inf,inf
OGD,112201,inf,nan
OGD,112251,inf,inf
OGD,112301,inf,nan
OGD,112351,inf,inf
OGD,112401,inf,inf
OGD,112451,inf,nan
OGD,112501,inf,inf
OGD,112551,inf,nan
OGD,112601,inf,nan
OGD,112651,inf,nan
OGD,112701,inf,inf
OGD,112751,inf,nan
OGD,112801,inf,nan
OGD,112851,inf,nan
OGD,112901,inf,nan
OGD,112951,inf,nan
OGD,113001,inf,inf
OGD,113051,inf,inf
OGD,113101,inf,nan
OGD,113151,inf,inf
OGD,113201,inf,nan
OGD,113251,inf,inf
OGD,113301,inf,nan
OGD,113351,inf,inf
OGD,113401,inf,inf
OGD,113451,inf,inf
OGD,113501,inf,nan
OGD,113551,inf,nan
OGD,113601,inf,nan
OGD,113651,inf,inf
OGD,113701,inf,nan
OGD,113751,inf,nan
OGD,113801,inf,nan
OGD,113851,inf,nan
OGD,113901,inf,nan
OGD,113951,inf,inf
OGD,114001,inf,inf
OGD,114051,inf,nan
OGD,114101,inf,inf
OGD,114151,inf,nan
OGD,114201,inf,nan
OGD,114251,inf,inf
OGD,114301,inf,inf
OGD,114351,inf,nan
OGD,114401,inf,nan
OGD,114451,inf,nan
OGD,114501,inf,nan
OGD,114551,inf,nan
OGD,114601,inf,nan
OGD,114651,inf,inf
OGD,114701,inf,inf
OGD,114751,inf,nan
OGD,114801,inf,nan
OGD,114851,inf,nan
OGD,114901,inf,inf
OGD,114951,inf,inf
OGD,115001,inf,inf
OGD,115051,inf,nan
OGD,115101,inf,inf
OGD,115151,inf,inf
OGD,115201,inf,nan
OGD,115251,inf,nan
OGD,115301,inf,inf
OGD,115351,inf,nan
OGD,115401,inf,nan
OGD,115451,inf,nan
OGD,115501,inf,nan
OGD,115551,inf,inf
OGD,115601,inf,inf
OGD,115651,inf,inf
OGD,115701,inf,nan
OGD,115751,inf,inf
OGD,115801,inf,nan
OGD,115851,inf,nan
OGD,115901,inf,inf
OGD,115951,inf,inf
OGD,116001,inf,inf
OGD,116051,inf,nan
OGD,116101,inf,nan
OGD,116151,inf,inf
OGD,116201,inf,inf
OGD,116251,inf,inf
OGD,116301,inf,inf
OGD,116351,inf,nan
OGD,116401,inf,inf
OGD,116451,inf,nan
OGD,116501,inf,inf
OGD,116551,inf,nan
OGD,116601,inf,inf
OGD,116651,inf,inf
OGD,116701,inf,inf
OGD,116751,inf,nan
OGD,116801,inf,nan
OGD,116851,inf,inf
OGD,116901,inf,inf
OGD,116951,inf,inf
OGD,117001,inf,nan
OGD,117051,inf,inf
OGD,117101,inf,inf
OGD,117151,inf,inf
OGD,117201,inf,nan
OGD,117251,inf,inf
OGD,117301,inf,inf
OGD,117351,inf,nan
OGD,117401,inf,nan
OGD,117451,inf,inf
OGD,117501,inf,inf
OGD,117551,inf,inf
OGD,117601,inf,inf
OGD,117651,inf,nan
OGD,117701,inf,nan
OGD,117751,inf,inf
OGD,117801,inf,inf
OGD,117851,inf,nan
OGD,117901,inf,inf
OGD,117951,inf,inf
OGD,118001,inf,nan
OGD,118051,inf,nan
OGD,118101,inf,nan
OGD,118151,inf,inf
OGD,118201,inf,inf
OGD,118251,inf,inf
OGD,118301,inf,nan
OGD,118351,inf,inf
OGD,118401,inf,nan
OGD,118451,inf,inf
OGD,118501,inf,nan
OGD,118551,inf,inf
OGD,118601,inf,inf
OGD,118651,inf,inf
OGD,118701,inf,nan
OGD,118751,inf,nan
OGD,118801,inf,inf
OGD,118851,inf,inf
OGD,118901,inf,inf
OGD,118951,inf,nan
OGD,119001,inf,nan
OGD,119051,inf,inf
OGD,119101,inf,inf
OGD,119151,inf,inf
OGD,119201,inf,nan
OGD,119251,inf,inf
OGD,119301,inf,nan
OGD,119351,inf,nan
OGD,119401,inf,nan
OGD,119451,inf,inf
OGD,119501,inf,nan
OGD,119551,inf,nan
