stream,phase,window,mode,cap,lr,w_max,true_blowup,new_div,L_ratio,P_ratio,jane_div,new_div_k5,new_div_k10,new_div_k20
jane,half,0,snomd,8.0,4.0,32.00568977953599,false,true,14.815114615989065,64.81449931872248,true,true,true,true
jane,half,0,snomd,32.0,4.0,128.6433859655257,false,true,691.7639435618693,1800.0110193971993,true,true,true,true
jane,half,0,snomd,0.5,8.0,5.35851206670021,false,false,1.2587528870145317,2.7389021206661956,false,false,false,false
jane,half,0,snomd,2.0,8.0,15.481159760838839,false,true,5.4292528167206235,20.5852390868807,true,true,true,true
jane,half,0,snomd,8.0,8.0,64.93685167086814,false,true,58.08552003342005,258.1897831366969,true,true,true,true
jane,half,0,snomd,32.0,8.0,261.3008528514303,false,true,2668.7887287741028,7215.850254632584,true,true,true,true
jane,half,1,snomd,0.5,0.5,0.5233824866160343,false,false,0.8344651180300025,0.7469824774948851,false,false,false,false
jane,half,1,snomd,2.0,0.5,0.9150380922676997,false,false,0.7594149394699233,0.7430994653439773,false,false,false,false
jane,half,1,snomd,8.0,0.5,3.314866386001963,false,false,0.9816380678761095,1.7744898251368768,false,false,false,false
jane,half,1,snomd,32.0,0.5,3.6319909943838686,false,false,1.0442394713889573,2.0079966584797004,false,false,false,false
jane,half,1,snomd,0.5,1.0,0.8161431617941234,false,false,0.7894783678439315,0.7122693724036446,false,false,false,false
jane,half,1,snomd,2.0,1.0,1.8045795290332758,false,false,0.7525265287658528,0.9074717190972437,false,false,false,false
jane,half,1,snomd,8.0,1.0,6.660922121646481,false,false,1.6048928512229057,4.4364282722071,false,false,false,false
